[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,502] INFO: Distributed process group initialized
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,503] INFO: Created GlooComm with device cpu
